Far field
"Phi"[deg]	"FarField4 [m^2]"	
0.00000000E+00	2.50863880E-08	
2.00000000E+00	4.03295172E-06	
4.00000000E+00	1.61278421E-05	
6.00000000E+00	3.62506438E-05	
8.00000000E+00	6.43026471E-05	
1.00000000E+01	1.00146045E-04	
1.20000000E+01	1.43604634E-04	
1.40000000E+01	1.94464701E-04	
1.60000000E+01	2.52476114E-04	
1.80000000E+01	3.17353587E-04	
2.00000000E+01	3.88778123E-04	
2.20000000E+01	4.66398628E-04	
2.40000000E+01	5.49833689E-04	
2.60000000E+01	6.38673491E-04	
2.80000000E+01	7.32481886E-04	
3.00000000E+01	8.30798582E-04	
3.20000000E+01	9.33141450E-04	
3.40000000E+01	1.03900894E-03	
3.60000000E+01	1.14788257E-03	
3.80000000E+01	1.25922954E-03	
4.00000000E+01	1.37250533E-03	
4.20000000E+01	1.48715642E-03	
4.40000000E+01	1.60262301E-03	
4.60000000E+01	1.71834181E-03	
4.80000000E+01	1.83374872E-03	
5.00000000E+01	1.94828167E-03	
5.20000000E+01	2.06138329E-03	
5.40000000E+01	2.17250366E-03	
5.60000000E+01	2.28110293E-03	
5.80000000E+01	2.38665395E-03	
6.00000000E+01	2.48864477E-03	
6.20000000E+01	2.58658111E-03	
6.40000000E+01	2.67998871E-03	
6.60000000E+01	2.76841557E-03	
6.80000000E+01	2.85143409E-03	
7.00000000E+01	2.92864312E-03	
7.20000000E+01	2.99966979E-03	
7.40000000E+01	3.06417130E-03	
7.60000000E+01	3.12183653E-03	
7.80000000E+01	3.17238746E-03	
8.00000000E+01	3.21558046E-03	
8.20000000E+01	3.25120748E-03	
8.40000000E+01	3.27909693E-03	
8.60000000E+01	3.29911456E-03	
8.80000000E+01	3.31116401E-03	
9.00000000E+01	3.31518732E-03	
9.20000000E+01	3.31116511E-03	
9.40000000E+01	3.29911679E-03	
9.60000000E+01	3.27910034E-03	
9.80000000E+01	3.25121216E-03	
1.00000000E+02	3.21558653E-03	
1.02000000E+02	3.17239504E-03	
1.04000000E+02	3.12184581E-03	
1.06000000E+02	3.06418246E-03	
1.08000000E+02	2.99968304E-03	
1.10000000E+02	2.92865871E-03	
1.12000000E+02	2.85145228E-03	
1.14000000E+02	2.76843663E-03	
1.16000000E+02	2.68001295E-03	
1.18000000E+02	2.58660882E-03	
1.20000000E+02	2.48867626E-03	
1.22000000E+02	2.38668953E-03	
1.24000000E+02	2.28114289E-03	
1.26000000E+02	2.17254828E-03	
1.28000000E+02	2.06143283E-03	
1.30000000E+02	1.94833634E-03	
1.32000000E+02	1.83380871E-03	
1.34000000E+02	1.71840724E-03	
1.36000000E+02	1.60269394E-03	
1.38000000E+02	1.48723283E-03	
1.40000000E+02	1.37258714E-03	
1.42000000E+02	1.25931655E-03	
1.44000000E+02	1.14797450E-03	
1.46000000E+02	1.03910538E-03	
1.48000000E+02	9.33241884E-04	
1.50000000E+02	8.30902376E-04	
1.52000000E+02	7.32588278E-04	
1.54000000E+02	6.38781588E-04	
1.56000000E+02	5.49942472E-04	
1.58000000E+02	4.66506949E-04	
1.60000000E+02	3.88884709E-04	
1.62000000E+02	3.17457047E-04	
1.64000000E+02	2.52574943E-04	
1.66000000E+02	1.94557291E-04	
1.68000000E+02	1.43689285E-04	
1.70000000E+02	1.00220980E-04	
1.72000000E+02	6.43660212E-05	
1.74000000E+02	3.63005673E-05	
1.76000000E+02	1.61623953E-05	
1.78000000E+02	4.05020501E-06	
1.80000000E+02	2.31212014E-08	
1.82000000E+02	4.10039741E-06	
1.84000000E+02	1.62613232E-05	
1.86000000E+02	3.64453350E-05	
1.88000000E+02	6.45523306E-05	
1.90000000E+02	1.00443184E-04	
1.92000000E+02	1.43940460E-04	
1.94000000E+02	1.94829320E-04	
1.96000000E+02	2.52858622E-04	
1.98000000E+02	3.17742198E-04	
2.00000000E+02	3.89160310E-04	
2.02000000E+02	4.66761272E-04	
