Far field
"Theta"[deg]	"FarField3 [m^2]"	
-1.80000000E+02	3.37029906E-02	
-1.78000000E+02	3.36367058E-02	
-1.76000000E+02	3.34864121E-02	
-1.74000000E+02	3.32529213E-02	
-1.72000000E+02	3.29374790E-02	
-1.70000000E+02	3.25417576E-02	
-1.68000000E+02	3.20678450E-02	
-1.66000000E+02	3.15182326E-02	
-1.64000000E+02	3.08957995E-02	
-1.62000000E+02	3.02037952E-02	
-1.60000000E+02	2.94458207E-02	
-1.58000000E+02	2.86258067E-02	
-1.56000000E+02	2.77479911E-02	
-1.54000000E+02	2.68168938E-02	
-1.52000000E+02	2.58372911E-02	
-1.50000000E+02	2.48141883E-02	
-1.48000000E+02	2.37527917E-02	
-1.46000000E+02	2.26584787E-02	
-1.44000000E+02	2.15367689E-02	
-1.42000000E+02	2.03932931E-02	
-1.40000000E+02	1.92337627E-02	
-1.38000000E+02	1.80639395E-02	
-1.36000000E+02	1.68896042E-02	
-1.34000000E+02	1.57165265E-02	
-1.32000000E+02	1.45504349E-02	
-1.30000000E+02	1.33969871E-02	
-1.28000000E+02	1.22617411E-02	
-1.26000000E+02	1.11501276E-02	
-1.24000000E+02	1.00674229E-02	
-1.22000000E+02	9.01872312E-03	
-1.20000000E+02	8.00891962E-03	
-1.18000000E+02	7.04267592E-03	
-1.16000000E+02	6.12440594E-03	
-1.14000000E+02	5.25825385E-03	
-1.12000000E+02	4.44807554E-03	
-1.10000000E+02	3.69742172E-03	
-1.08000000E+02	3.00952293E-03	
-1.06000000E+02	2.38727614E-03	
-1.04000000E+02	1.83323337E-03	
-1.02000000E+02	1.34959204E-03	
-1.00000000E+02	9.38187284E-04	
-9.80000000E+01	6.00486107E-04	
-9.60000000E+01	3.37583436E-04	
-9.40000000E+01	1.50200047E-04	
-9.20000000E+01	3.86823472E-05	
-9.00000000E+01	3.00398470E-06	
-8.80000000E+01	4.27692502E-05	
-8.60000000E+01	1.57218229E-04	
-8.40000000E+01	3.45233653E-04	
-8.20000000E+01	6.05349395E-04	
-8.00000000E+01	9.35760548E-04	
-7.80000000E+01	1.33433501E-03	
-7.60000000E+01	1.79862650E-03	
-7.40000000E+01	2.32588897E-03	
-7.20000000E+01	2.91309220E-03	
-7.00000000E+01	3.55693868E-03	
-6.80000000E+01	4.25388153E-03	
-6.60000000E+01	5.00014337E-03	
-6.40000000E+01	5.79173616E-03	
-6.20000000E+01	6.62448180E-03	
-6.00000000E+01	7.49403337E-03	
-5.80000000E+01	8.39589697E-03	
-5.60000000E+01	9.32545410E-03	
-5.40000000E+01	1.02779842E-02	
-5.20000000E+01	1.12486878E-02	
-5.00000000E+01	1.22327093E-02	
-4.80000000E+01	1.32251601E-02	
-4.60000000E+01	1.42211419E-02	
-4.40000000E+01	1.52157691E-02	
-4.20000000E+01	1.62041917E-02	
-4.00000000E+01	1.71816170E-02	
-3.80000000E+01	1.81433319E-02	
-3.60000000E+01	1.90847233E-02	
-3.40000000E+01	2.00012991E-02	
-3.20000000E+01	2.08887075E-02	
-3.00000000E+01	2.17427560E-02	
-2.80000000E+01	2.25594292E-02	
-2.60000000E+01	2.33349063E-02	
-2.40000000E+01	2.40655764E-02	
-2.20000000E+01	2.47480536E-02	
-2.00000000E+01	2.53791912E-02	
-1.80000000E+01	2.59560937E-02	
-1.60000000E+01	2.64761284E-02	
-1.40000000E+01	2.69369358E-02	
-1.20000000E+01	2.73364382E-02	
-1.00000000E+01	2.76728474E-02	
-8.00000000E+00	2.79446714E-02	
-6.00000000E+00	2.81507188E-02	
-4.00000000E+00	2.82901033E-02	
-2.00000000E+00	2.83622458E-02	
0.00000000E+00	2.83668759E-02	
2.00000000E+00	2.83040317E-02	
4.00000000E+00	2.81740588E-02	
6.00000000E+00	2.79776077E-02	
8.00000000E+00	2.77156301E-02	
1.00000000E+01	2.73893748E-02	
1.20000000E+01	2.70003807E-02	
1.40000000E+01	2.65504710E-02	
1.60000000E+01	2.60417445E-02	
1.80000000E+01	2.54765666E-02	
2.00000000E+01	2.48575595E-02	
2.20000000E+01	2.41875913E-02	
2.40000000E+01	2.34697640E-02	
2.60000000E+01	2.27074007E-02	
2.80000000E+01	2.19040324E-02	
3.00000000E+01	2.10633833E-02	
3.20000000E+01	2.01893560E-02	
3.40000000E+01	1.92860157E-02	
3.60000000E+01	1.83575736E-02	
3.80000000E+01	1.74083704E-02	
4.00000000E+01	1.64428580E-02	
4.20000000E+01	1.54655818E-02	
4.40000000E+01	1.44811620E-02	
4.60000000E+01	1.34942746E-02	
4.80000000E+01	1.25096318E-02	
5.00000000E+01	1.15319626E-02	
5.20000000E+01	1.05659923E-02	
5.40000000E+01	9.61642247E-03	
5.60000000E+01	8.68791067E-03	
5.80000000E+01	7.78504966E-03	
6.00000000E+01	6.91234700E-03	
6.20000000E+01	6.07420449E-03	
6.40000000E+01	5.27489774E-03	
6.60000000E+01	4.51855602E-03	
6.80000000E+01	3.80914226E-03	
7.00000000E+01	3.15043348E-03	
7.20000000E+01	2.54600164E-03	
7.40000000E+01	1.99919502E-03	
7.60000000E+01	1.51312030E-03	
7.80000000E+01	1.09062520E-03	
8.00000000E+01	7.34282185E-04	
8.20000000E+01	4.46372865E-04	
8.40000000E+01	2.28873597E-04	
8.60000000E+01	8.34421324E-05	
8.80000000E+01	1.14055285E-05	
9.00000000E+01	1.37493908E-05	
9.20000000E+01	9.11085514E-05	
9.40000000E+01	2.43759275E-04	
9.60000000E+01	4.71613087E-04	
9.80000000E+01	7.74212303E-04	
1.00000000E+02	1.15072735E-03	
1.02000000E+02	1.59995593E-03	
1.04000000E+02	2.12032411E-03	
1.06000000E+02	2.70988940E-03	
1.08000000E+02	3.36634581E-03	
1.10000000E+02	4.08703095E-03	
1.12000000E+02	4.86893523E-03	
1.14000000E+02	5.70871309E-03	
1.16000000E+02	6.60269629E-03	
1.18000000E+02	7.54690922E-03	
1.20000000E+02	8.53708622E-03	
1.22000000E+02	9.56869076E-03	
1.24000000E+02	1.06369366E-02	
1.26000000E+02	1.17368105E-02	
1.28000000E+02	1.28630970E-02	
1.30000000E+02	1.40104041E-02	
1.32000000E+02	1.51731910E-02	
1.34000000E+02	1.63457965E-02	
1.36000000E+02	1.75224693E-02	
1.38000000E+02	1.86973979E-02	
1.40000000E+02	1.98647429E-02	
1.42000000E+02	2.10186682E-02	
1.44000000E+02	2.21533738E-02	
1.46000000E+02	2.32631278E-02	
1.48000000E+02	2.43422991E-02	
1.50000000E+02	2.53853888E-02	
1.52000000E+02	2.63870622E-02	
1.54000000E+02	2.73421790E-02	
1.56000000E+02	2.82458232E-02	
1.58000000E+02	2.90933319E-02	
1.60000000E+02	2.98803217E-02	
1.62000000E+02	3.06027152E-02	
1.64000000E+02	3.12567640E-02	
1.66000000E+02	3.18390712E-02	
1.68000000E+02	3.23466110E-02	
1.70000000E+02	3.27767462E-02	
1.72000000E+02	3.31272439E-02	
1.74000000E+02	3.33962880E-02	
1.76000000E+02	3.35824896E-02	
1.78000000E+02	3.36848949E-02	
1.80000000E+02	3.37029906E-02	
